Dates,O,H,L,C
2004-06-22,"1,2114","1,2132","1,2066","1,2113"
2004-06-23,"1,2114","1,2194","1,2062","1,2091"
2004-06-24,"1,2095","1,2190","1,2040","1,2175"
2004-06-25,"1,2178","1,2188","1,2106","1,2174"
2004-06-28,"1,2174","1,2231","1,2122","1,2187"
2004-06-29,"1,2183","1,2193","1,2068","1,2079"
2004-06-30,"1,2077","1,2205","1,2064","1,2187"
2004-07-01,"1,2188","1,2207","1,2130","1,2161"
2004-07-02,"1,2158","1,2331","1,2145","1,2326"
2004-07-05,"1,2329","1,2339","1,2273","1,2291"
2004-07-06,"1,2285","1,2333","1,2264","1,2288"
2004-07-07,"1,2286","1,2391","1,2272","1,2374"
2004-07-08,"1,2367","1,2409","1,2340","1,2389"
2004-07-09,"1,2390","1,2424","1,2368","1,2415"
2004-07-12,"1,2412","1,2439","1,2382","1,2413"
2004-07-13,"1,2411","1,2413","1,2299","1,2333"
2004-07-14,"1,2337","1,2424","1,2318","1,2384"
2004-07-15,"1,2380","1,2393","1,2326","1,2357"
2004-07-16,"1,2356","1,2462","1,2327","1,2453"
2004-07-19,"1,2443","1,2464","1,2397","1,2443"
2004-07-20,"1,2441","1,2457","1,2299","1,2329"
2004-07-21,"1,2332","1,2354","1,2211","1,2270"
2004-07-22,"1,2259","1,2296","1,2231","1,2252"
2004-07-23,"1,2254","1,2268","1,2086","1,2094"
2004-07-26,"1,2106","1,2173","1,2087","1,2147"
2004-07-27,"1,2146","1,2191","1,2033","1,2056"
2004-07-28,"1,2059","1,2080","1,1998","1,2055"
2004-07-29,"1,2052","1,2098","1,1991","1,2037"
2004-07-30,"1,2038","1,2124","1,2001","1,2020"
2004-08-02,"1,2071","1,2096","1,2015","1,2023"
2004-08-03,"1,2024","1,2077","1,1991","1,2052"
2004-08-04,"1,2047","1,2069","1,1970","1,2052"
2004-08-05,"1,2050","1,2075","1,2018","1,2060"
2004-08-06,"1,2062","1,2294","1,2045","1,2279"
2004-08-09,"1,2288","1,2292","1,2245","1,2271"
2004-08-10,"1,2271","1,2322","1,2226","1,2226"
2004-08-11,"1,2223","1,2250","1,2194","1,2228"
2004-08-12,"1,2219","1,2302","1,2212","1,2250"
2004-08-13,"1,2251","1,2377","1,2173","1,2376"
2004-08-16,"1,2380","1,2382","1,2315","1,2361"
2004-08-17,"1,2359","1,2392","1,2312","1,2357"
2004-08-18,"1,2353","1,2368","1,2285","1,2339"
2004-08-19,"1,2330","1,2381","1,2328","1,2367"
2004-08-20,"1,2372","1,2385","1,2278","1,2312"
2004-08-23,"1,2319","1,2319","1,2132","1,2134"
2004-08-24,"1,2138","1,2172","1,2061","1,2083"
2004-08-25,"1,2084","1,2117","1,2051","1,2083"
2004-08-26,"1,2085","1,2123","1,2041","1,2106"
2004-08-27,"1,2106","1,2140","1,2004","1,2008"
2004-08-30,"1,2014","1,2071","1,1987","1,2058"
2004-08-31,"1,2055","1,2197","1,2043","1,2188"
2004-09-01,"1,2182","1,2224","1,2144","1,2198"
2004-09-02,"1,2194","1,2202","1,2140","1,2177"
2004-09-03,"1,2172","1,2197","1,2041","1,2052"
2004-09-06,"1,2063","1,2083","1,2046","1,2060"
2004-09-07,"1,2065","1,2114","1,2053","1,2107"
2004-09-08,"1,2107","1,2194","1,2025","1,2184"
2004-09-09,"1,2186","1,2241","1,2159","1,2229"
2004-09-10,"1,2234","1,2313","1,2196","1,2262"
2004-09-13,"1,2268","1,2288","1,2222","1,2258"
2004-09-14,"1,2261","1,2298","1,2224","1,2248"
2004-09-15,"1,2249","1,2264","1,2134","1,2151"
2004-09-16,"1,2150","1,2201","1,2120","1,2186"
2004-09-17,"1,2186","1,2228","1,2159","1,2199"
2004-09-20,"1,2173","1,2180","1,2126","1,2178"
2004-09-21,"1,2169","1,2349","1,2166","1,2331"
2004-09-22,"1,2332","1,2334","1,2226","1,2268"
2004-09-23,"1,2267","1,2337","1,2255","1,2268"
2004-09-24,"1,2268","1,2368","1,2239","1,2278"
2004-09-27,"1,2282","1,2316","1,2246","1,2303"
2004-09-28,"1,2299","1,2352","1,2281","1,2326"
2004-09-29,"1,2325","1,2344","1,2289","1,2332"
2004-09-30,"1,2330","1,2445","1,2311","1,2432"
2004-10-01,"1,2435","1,2441","1,2384","1,2414"
2004-10-04,"1,2404","1,2406","1,2260","1,2293"
2004-10-05,"1,2288","1,2332","1,2262","1,2312"
2004-10-06,"1,2313","1,2325","1,2246","1,2288"
2004-10-07,"1,2283","1,2315","1,2271","1,2285"
2004-10-08,"1,2286","1,2437","1,2284","1,2407"
2004-10-11,"1,2417","1,2422","1,2367","1,2383"
2004-10-12,"1,2386","1,2393","1,2286","1,2321"
2004-10-13,"1,2328","1,2360","1,2227","1,2346"
2004-10-14,"1,2342","1,2424","1,2321","1,2380"
2004-10-15,"1,2380","1,2508","1,2334","1,2466"
2004-10-18,"1,2479","1,2538","1,2462","1,2496"
2004-10-19,"1,2494","1,2530","1,2451","1,2519"
2004-10-20,"1,2517","1,2631","1,2489","1,2586"
2004-10-21,"1,2584","1,2654","1,2570","1,2618"
2004-10-22,"1,2611","1,2689","1,2599","1,2687"
2004-10-25,"1,2713","1,2833","1,2710","1,2807"
2004-10-26,"1,2811","1,2843","1,2723","1,2755"
2004-10-27,"1,2748","1,2813","1,2692","1,2708"
2004-10-28,"1,2698","1,2767","1,2630","1,2746"
2004-10-29,"1,2744","1,2802","1,2709","1,2785"
2004-11-01,"1,2805","1,2833","1,2717","1,2752"
2004-11-02,"1,2753","1,2758","1,2663","1,2727"
2004-11-03,"1,2738","1,2830","1,2656","1,2820"
2004-11-04,"1,2821","1,2898","1,2789","1,2869"
2004-11-05,"1,2872","1,2971","1,2761","1,2967"
2004-11-08,"1,2971","1,2986","1,2904","1,2919"
2004-11-09,"1,2916","1,2941","1,2881","1,2894"
2004-11-10,"1,2898","1,3007","1,2847","1,2889"
2004-11-11,"1,2888","1,2921","1,2858","1,2906"
2004-11-12,"1,2906","1,2990","1,2875","1,2976"
2004-11-15,"1,2976","1,3001","1,2915","1,2948"
2004-11-16,"1,2944","1,2995","1,2916","1,2957"
2004-11-17,"1,2957","1,3050","1,2950","1,3039"
2004-11-18,"1,3033","1,3076","1,2939","1,2956"
2004-11-19,"1,2960","1,3070","1,2938","1,3020"
2004-11-22,"1,3035","1,3053","1,3009","1,3043"
2004-11-23,"1,3046","1,3107","1,2974","1,3082"
2004-11-24,"1,3088","1,3181","1,3080","1,3177"
2004-11-25,"1,3188","1,3251","1,3161","1,3247"
2004-11-26,"1,3249","1,3333","1,3184","1,3293"
2004-11-29,"1,3268","1,3304","1,3228","1,3272"
2004-11-30,"1,3279","1,3335","1,3230","1,3293"
2004-12-01,"1,3283","1,3337","1,3274","1,3329"
2004-12-02,"1,3346","1,3384","1,3234","1,3270"
2004-12-03,"1,3271","1,3463","1,3256","1,3456"
2004-12-06,"1,3442","1,3458","1,3389","1,3401"
2004-12-07,"1,3406","1,3471","1,3388","1,3426"
2004-12-08,"1,3427","1,3436","1,3193","1,3338"
2004-12-09,"1,3340","1,3365","1,3251","1,3319"
2004-12-10,"1,3315","1,3318","1,3137","1,3225"
2004-12-13,"1,3197","1,3329","1,3188","1,3311"
2004-12-14,"1,3315","1,3338","1,3258","1,3303"
2004-12-15,"1,3303","1,3447","1,3261","1,3385"
2004-12-16,"1,3400","1,3431","1,3204","1,3244"
2004-12-17,"1,3241","1,3318","1,3226","1,3309"
2004-12-20,"1,3334","1,3415","1,3298","1,3394"
2004-12-21,"1,3396","1,3409","1,3350","1,3371"
2004-12-22,"1,3369","1,3407","1,3344","1,3388"
2004-12-23,"1,3390","1,3520","1,3381","1,3511"
2004-12-24,"1,3518","1,3552","1,3487","1,3531"
2004-12-27,"1,3530","1,3642","1,3514","1,3616"
2004-12-28,"1,3617","1,3647","1,3588","1,3611"
2004-12-29,"1,3615","1,3647","1,3556","1,3605"
2004-12-30,"1,3609","1,3671","1,3575","1,3639"
2004-12-31,"1,3638","1,3662","1,3511","1,3558"
2005-01-03,"1,3547","1,3582","1,3386","1,3463"
2005-01-04,"1,3466","1,3496","1,3249","1,3272"
2005-01-05,"1,3282","1,3305","1,3215","1,3262"
2005-01-06,"1,3262","1,3286","1,3156","1,3171"
2005-01-07,"1,3171","1,3251","1,3024","1,3054"
