"Date","Price","Open","High","Low","Change %"
"Feb 27, 2020","141.22","142.50","142.57","141.19","-0.90%"
"Feb 26, 2020","142.50","143.31","143.74","142.24","-0.58%"
"Feb 25, 2020","143.33","143.16","143.68","142.94","0.10%"
"Feb 24, 2020","143.18","144.61","144.84","142.63","-1.08%"
"Feb 21, 2020","144.74","144.41","144.98","143.71","0.21%"
"Feb 20, 2020","144.43","143.91","144.62","143.60","0.37%"
"Feb 19, 2020","143.90","142.84","144.19","142.79","0.74%"
"Feb 18, 2020","142.84","142.91","143.25","142.31","-0.07%"
"Feb 17, 2020","142.94","143.10","143.40","142.84","-0.19%"
"Feb 14, 2020","143.21","143.27","143.43","142.76","-0.04%"
"Feb 13, 2020","143.27","142.70","143.49","142.13","0.41%"
"Feb 12, 2020","142.68","142.18","142.90","142.12","0.33%"
"Feb 11, 2020","142.21","141.78","142.50","141.69","0.32%"
"Feb 10, 2020","141.76","141.56","142.10","141.24","0.20%"
"Feb 07, 2020","141.47","142.24","142.38","141.38","-0.53%"
"Feb 06, 2020","142.22","142.78","142.84","142.07","-0.39%"
"Feb 05, 2020","142.78","142.71","143.41","142.23","0.04%"
"Feb 04, 2020","142.72","141.22","142.87","140.94","1.05%"
"Feb 03, 2020","141.24","143.25","143.25","141.07","-1.29%"
"Jan 31, 2020","143.09","142.70","143.32","142.46","0.28%"
"Jan 30, 2020","142.69","141.96","142.74","141.25","0.53%"
"Jan 29, 2020","141.94","142.19","142.38","141.69","-0.18%"
"Jan 28, 2020","142.19","142.20","142.48","141.46","0.02%"
"Jan 27, 2020","142.16","142.88","143.06","142.06","-0.52%"
"Jan 24, 2020","142.91","143.66","144.40","142.69","-0.54%"
"Jan 23, 2020","143.69","144.32","144.44","143.21","-0.46%"
"Jan 22, 2020","144.35","143.37","144.63","143.26","0.66%"
"Jan 21, 2020","143.40","143.40","143.99","142.85","0.03%"
"Jan 20, 2020","143.35","143.22","143.38","142.79","0.03%"
"Jan 17, 2020","143.31","144.09","144.55","143.26","-0.53%"
"Jan 16, 2020","144.07","143.30","144.18","143.24","0.55%"
"Jan 15, 2020","143.28","143.22","143.41","142.66","0.06%"
"Jan 14, 2020","143.19","142.81","143.46","142.43","0.29%"
"Jan 13, 2020","142.78","142.88","143.04","142.34","-0.15%"
"Jan 10, 2020","142.99","143.12","143.53","142.88","-0.08%"
"Jan 09, 2020","143.10","142.94","143.49","142.41","0.09%"
"Jan 08, 2020","142.97","142.30","143.14","141.12","0.48%"
"Jan 07, 2020","142.29","142.72","143.31","142.01","-0.30%"
"Jan 06, 2020","142.72","141.31","142.81","140.84","0.88%"
"Jan 03, 2020","141.47","142.74","142.81","140.99","-0.88%"
"Jan 02, 2020","142.72","144.10","144.21","142.26","-0.95%"
"Jan 01, 2020","144.09","144.03","144.24","143.78","-0.03%"
"Dec 31, 2019","144.13","142.81","144.38","142.40","0.95%"
"Dec 30, 2019","142.78","143.04","143.44","142.56","-0.22%"
"Dec 27, 2019","143.10","142.46","143.61","141.93","0.45%"
"Dec 26, 2019","142.46","141.75","142.72","141.59","0.51%"
"Dec 25, 2019","141.74","141.60","142.50","141.25","0.08%"
"Dec 24, 2019","141.62","141.50","141.91","141.21","0.08%"
"Dec 23, 2019","141.50","142.16","142.59","141.18","-0.58%"
"Dec 20, 2019","142.32","142.30","143.08","142.08","0.03%"
"Dec 19, 2019","142.28","143.25","143.88","141.96","-0.68%"
"Dec 18, 2019","143.25","143.73","143.89","143.06","-0.35%"
"Dec 17, 2019","143.75","145.97","146.13","143.49","-1.53%"
"Dec 16, 2019","145.98","145.79","146.84","145.71","0.16%"
"Dec 13, 2019","145.75","143.93","147.97","143.81","1.29%"
"Dec 12, 2019","143.90","143.32","144.19","142.49","0.46%"
"Dec 11, 2019","143.24","143.04","143.41","142.54","0.16%"
"Dec 10, 2019","143.01","142.76","143.69","142.62","0.21%"
"Dec 09, 2019","142.71","142.66","143.13","142.47","0.02%"
"Dec 06, 2019","142.68","143.10","143.19","142.38","-0.29%"
"Dec 05, 2019","143.09","142.66","143.28","142.60","0.30%"
"Dec 04, 2019","142.66","141.16","142.80","140.82","1.06%"
"Dec 03, 2019","141.16","141.02","141.74","140.86","0.11%"
"Dec 02, 2019","141.01","141.53","141.84","140.91","-0.45%"
"Nov 29, 2019","141.65","141.35","141.74","141.09","0.17%"
"Nov 28, 2019","141.41","141.56","141.88","141.25","-0.11%"
"Nov 27, 2019","141.56","140.28","141.56","140.03","0.90%"
"Nov 26, 2019","140.30","140.49","140.92","139.98","-0.14%"
"Nov 25, 2019","140.50","139.59","140.65","139.56","0.77%"
"Nov 22, 2019","139.43","140.29","140.51","139.31","-0.63%"
"Nov 21, 2019","140.31","140.37","140.94","139.98","-0.05%"
"Nov 20, 2019","140.38","140.28","140.53","139.66","0.05%"
"Nov 19, 2019","140.31","140.81","141.00","140.13","-0.33%"
"Nov 18, 2019","140.78","140.37","141.59","140.33","0.33%"
"Nov 15, 2019","140.31","139.66","140.50","139.59","0.47%"
"Nov 14, 2019","139.66","139.84","139.90","139.38","-0.14%"
"Nov 13, 2019","139.85","140.06","140.28","139.44","-0.13%"
"Nov 12, 2019","140.03","140.16","140.60","139.92","-0.11%"
"Nov 11, 2019","140.19","139.56","140.51","139.35","0.44%"
"Nov 08, 2019","139.57","140.06","140.25","139.43","-0.34%"
"Nov 07, 2019","140.04","140.04","140.56","139.49","-0.04%"
"Nov 06, 2019","140.10","140.65","140.71","139.88","-0.39%"
"Nov 05, 2019","140.65","139.89","140.78","139.84","0.54%"
"Nov 04, 2019","139.89","140.11","140.27","139.84","-0.04%"
"Nov 01, 2019","139.94","139.79","140.16","139.62","0.09%"
"Oct 31, 2019","139.82","140.45","140.71","139.60","-0.44%"
"Oct 30, 2019","140.44","140.12","140.52","139.95","0.24%"
"Oct 29, 2019","140.10","140.16","140.56","139.46","-0.04%"
"Oct 28, 2019","140.16","139.38","140.28","139.31","0.59%"
"Oct 25, 2019","139.34","139.59","139.81","139.03","-0.18%"
"Oct 24, 2019","139.59","140.34","140.75","138.87","-0.58%"
"Oct 23, 2019","140.41","139.64","140.45","139.08","0.54%"
"Oct 22, 2019","139.66","140.74","141.15","139.51","-0.77%"
"Oct 21, 2019","140.75","140.19","141.37","139.48","0.06%"
"Oct 18, 2019","140.66","140.06","140.79","139.32","0.42%"
"Oct 17, 2019","140.07","139.57","141.52","138.62","0.36%"
"Oct 16, 2019","139.57","139.19","140.12","137.50","0.27%"
"Oct 15, 2019","139.20","136.67","139.33","136.45","1.86%"
"Oct 14, 2019","136.66","136.88","137.21","135.50","-0.34%"
"Oct 11, 2019","137.12","134.32","137.88","133.96","2.07%"
"Oct 10, 2019","134.34","131.19","134.59","130.74","2.41%"
"Oct 09, 2019","131.18","130.85","131.83","130.66","0.25%"
"Oct 08, 2019","130.85","131.87","132.14","130.43","-0.79%"
"Oct 07, 2019","131.89","131.86","132.26","131.24","-0.01%"
"Oct 04, 2019","131.90","131.86","132.06","131.28","0.06%"
"Oct 03, 2019","131.82","131.90","132.62","131.47","-0.02%"
"Oct 02, 2019","131.85","132.56","132.67","131.57","-0.58%"
"Oct 01, 2019","132.62","132.84","133.40","131.78","-0.18%"
"Sep 30, 2019","132.86","132.64","133.36","132.47","0.17%"
"Sep 27, 2019","132.64","132.86","133.29","132.31","-0.18%"
"Sep 26, 2019","132.88","133.09","133.31","132.37","-0.17%"
"Sep 25, 2019","133.11","133.72","134.03","132.83","-0.46%"
"Sep 24, 2019","133.72","133.70","134.61","133.54","0.02%"
"Sep 23, 2019","133.69","134.13","134.57","133.34","-0.40%"
"Sep 20, 2019","134.23","135.34","135.74","134.04","-0.78%"
"Sep 19, 2019","135.28","135.28","135.53","134.27","0.01%"
"Sep 18, 2019","135.26","135.22","135.72","134.60","0.06%"
"Sep 17, 2019","135.18","134.49","135.45","133.98","0.57%"
"Sep 16, 2019","134.41","134.65","134.90","133.88","-0.53%"
"Sep 13, 2019","135.12","133.35","135.22","133.26","1.33%"
"Sep 12, 2019","133.34","132.94","133.67","132.17","0.31%"
"Sep 11, 2019","132.93","132.80","133.39","132.68","0.10%"
"Sep 10, 2019","132.80","132.42","132.94","132.02","0.29%"
"Sep 09, 2019","132.42","131.55","132.57","130.81","0.85%"
"Sep 06, 2019","131.31","131.88","132.15","131.24","-0.45%"
"Sep 05, 2019","131.91","130.35","132.22","129.91","1.18%"
"Sep 04, 2019","130.37","128.03","130.47","127.94","1.83%"
"Sep 03, 2019","128.03","128.19","128.28","126.69","-0.12%"
"Sep 02, 2019","128.18","129.15","129.33","127.86","-0.83%"
"Aug 30, 2019","129.25","129.75","129.89","129.08","-0.45%"
"Aug 29, 2019","129.84","129.59","130.07","128.97","0.19%"
"Aug 28, 2019","129.59","129.95","130.10","128.49","-0.27%"
"Aug 27, 2019","129.94","129.67","130.40","129.01","0.20%"
"Aug 26, 2019","129.68","129.20","130.17","128.20","0.19%"
"Aug 23, 2019","129.43","130.40","130.59","129.00","-0.74%"
"Aug 22, 2019","130.40","129.33","130.72","128.76","0.84%"
"Aug 21, 2019","129.31","129.28","129.69","128.87","0.02%"
"Aug 20, 2019","129.28","129.31","129.66","128.26","-0.03%"
"Aug 19, 2019","129.32","129.24","129.57","128.97","0.05%"
"Aug 16, 2019","129.25","128.25","129.59","128.16","0.78%"
"Aug 15, 2019","128.25","127.73","129.00","127.45","0.41%"
"Aug 14, 2019","127.73","128.74","128.80","127.49","-0.78%"
"Aug 13, 2019","128.73","127.15","129.23","126.79","1.23%"
"Aug 12, 2019","127.16","127.08","127.56","126.55","0.02%"
"Aug 09, 2019","127.14","128.63","128.75","126.95","-1.20%"
"Aug 08, 2019","128.69","129.03","129.37","128.26","-0.27%"
"Aug 07, 2019","129.04","129.53","129.66","128.22","-0.41%"
"Aug 06, 2019","129.57","128.66","130.09","128.11","0.72%"
"Aug 05, 2019","128.65","129.56","129.75","128.16","-0.71%"
"Aug 02, 2019","129.57","130.24","130.44","129.06","-0.51%"
